SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Air,,,,,,
Qa,Aluvial,Alluvium,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: river,
Qac,Endapan Pantai,Coastal deposits,Sediment: clastic: alluvium,Sedimentation: river,Sedimentation: river,
Qaf,Endapan Dataran Banjir,Flood plain deposits,Sediment: clastic: fine: claystone,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qav1,Unit batupasir,Unit Sandstone,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qav3,Kipas Aluvial,Alluvium Fans,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qbr,Endapan punggungan pantai,Beach Ridge Deposit,Sediment: clastic: medium: sandstone,Sedimentation: littoral: beach,Sedimentation: littoral: beach,
Ql,Batugamping Terumbu,Reef Limestone,Sediment: reef: limestone,Sedimentation: transitional,Sedimentation: transitional,
Qnd,Endapan laut dangkal,Shallow marine deposite,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: transitional,
Qoa,Aluvium Tua,Older Alluvium,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qpb1,Formasi Bojong,Bojong Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: littoral,
Qpvb,Tufa Banten Atas,Upper Banten Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qsd,Swamp deposits,Swamp deposits,Sediment: clastic: fine: claystone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
QTvb1,Tuff Banten,Banten Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qv1,Batuan gunungapi muda,Young volcanic,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvas,Andesit Gunungapi Sudamanik,Andesite of Sudamanik Volcano,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qvk2,Produk gunungapi Karang,Karang volcanic Product,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Tac,Andesit G. Cabe dan Basal G. Angsana,Andesite of Cabe V. & Basalt of Angsana.,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Tba,Andesit bat.gunungapi Cabe dan Angsana,Andesite of Cabe volc&basalt of Angsana,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmb1,Formasi Bojongmanik,Bojongmanik Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: transitional,
Tmj1,Formasi Jatiluhur,Jatiluhur Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tmk1,Formasi Klapanunggal,Klapanunggal Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Tmpb1,Basal Gunungapi Dago,Basalt of Dago Volcano,Extrusive: mafic: lava,Volcanism: subaerial,Volcanism: subaerial,
Tmrs1,Formasi Rengganis,Rengganis Formation,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
Tpc,Formasi Cihoe,Cihoe Formation,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
Tpg,Formasi Serpong,Serpong Formation,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Tpg1,Formasi Genteng,Genteng Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tpss,Formasi Serpong,Serpong Formation,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
a,Andesite,Andesite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Mcv,Formasi Citerem,Citerem Formation,Tectonite: ophiolite,Accretion: oceanic,Accretion: oceanic,
Mgg,Batuan Ultrabasa Gunung Beas,Gunung Beas Ultrabasic Rock,Tectonite: ophiolite,Accretion: oceanic,Accretion: oceanic,
Mgp,Batuan ultrabasa Gunung Beas,Gunung Beas  ultrabasic rock,Tectonite: ophiolite,Accretion: oceanic,Accretion: oceanic,
Mps,Sekis Pasir Luhur,Pasir Luhur Schist,Metamorphic: medium: schist,Metamorphism: regional: mid-grade,Metamorphism: regional: mid-grade,
Qb,Basal,Basalt,Intrusive: mafic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Qbp,Basal batuan gunungapi Pinang,Basalt of Pinang Volcano,Extrusive: mafic: lava,Volcanism: subaerial,Volcanism: subaerial,
Qc,Koluvial,Colluvium,Sediment: clastic: coarse: breccia,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qc1,Endapan Undak,Terrace deposits,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
qd1,Diorit Kuarsa,Diorit Kuarsa,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Qg,Batugamping Koral,Corraline Limestone,Sediment: Reef: limestone,Littoral,Littoral,UPPER PLEISTOCENE
Qha,Aluvial dan Endapan Koastal,Alluvium and Coastal Deposits,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qhkl,Lava Muda Gunung Karang,Young Lava of Karang,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qhv,Batuan Vulkanik Pandil Raung,"Raung, Pandil Volcanic Rock",Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qhvp,Gunungapi Pesawaran,Pesawaran Volcanics,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,HOLOCENE
Qhvrb,Gunungapi Rajabasa,Rajabasa Volcanics,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,UPPER PLEISTOCENE
Qhvse,Gunungapi Sebesi,Sebesi Volcanics,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,HOLOCENE
Qk1,Kolovium,Collovium,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qoa1,Aluvium Tua,Older Alluvium,Sediment: clastic: alluvium,Sedimentation: river,Sedimentation: river,
Qpa,Andesit,Andecite,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qpcb,Sedimen pantai Citanglar,Cianglar beach sediment,Sediment: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qpd,Batuan gunungapi tua danau,Old volcanic rocks of danau,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qpg,Batuan gunungapi Gede,Volcanic rock of Gede,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qpot,Endapan Undak Tua,Old Terrase Deposits,Sediment: clastic: alluvium,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qptb,Tufa Banten bagian bawah,Lower Banten Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qpv,Gunungapi Endut,Endut Volcanic,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qpv1,Breksi Gunungapi,Volcanic Breccia,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qpvg,Hasil Gunungapi Gede,Volcanics Product Of Gede,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qpvk1,Formasi Kalibaru,Kalibaru Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qpvm,Batuan Gunungapi Marikangen,Volcanic Rock of Marikangen,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qpvp1,Batuan Gunungapi Barang dan Gedor,Volcanic Rocks Payung and Gedor,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Qpyt,Endapan teras muda,Young terrace deposits,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qr,Endapan rawa danau,Swamp deposits of danau,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
QTl,Formasi Lampung,Lampung Formation,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,PLIO-PLEISTOCENE
QTv1,Batuan gunungapi Payung,Payung Volcanic rock,,,,
Qv3,Batuan gunungapi kuarter,Quarternary volcanics,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvb1,Breksi Gunungapi,Volcanic Breksi,Sediment: clastic: coarse: breccia,Volcanism: subaerial,Volcanism: subaerial,
Qvb3,Breksi Tapos,Tapos Breccia,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Qvd,Batuan gunungapi muda Danau,Young volcanic rocks of danau,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qvep,Lava Gunung  Endut-Prabakti,Gunung  Endut-Prabakti Lava,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qvk3,Breksi & lava  G.Kencana & G. Limo,Breccia & lava of G.Kencana & G. Limo,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qvkl,Lava gunung Karang,Lava of Karang volcano,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qvl1,Lava gunungapi,Volcanic Lava,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qvpo,Endapan Batuan Gunungapi Tua,Older deposits,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvpy,Endapan muda lahar andesit,Younger deposits andesitic lahar,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvsb,Lahar,Lahar,Extrusive: mafic: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvsl1,Aliran Lava,Lava flow,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qvst,Tufa batuapung pasiran,Sandy pumiceous tuff,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qvt,Batuan Gunungapi Tua,Older Volcanic RocksTuff,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qvtb,Tufa Banten Atas,Upper Banten Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qvu2,Batuan Gunungapi tak terpisahkan,Undifferentiated volcanic rocks,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qyg,Endapan Breksi & Lahar Gunung Gede,Breccia & lahar deposits from G.Gede,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Teb,Anggota Konglomerat,Bayah Formation,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Tebm,Limestone Member,Bayah Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tecl,Formasi Ciletuh,Ciletuh Formation,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
Temv,Formasi Cikotok,Cikotok Formation,Extrusive: intermediate: lava,Volcanism: submarine,Volcanism: submarine,
Tet,Formasi Cicarucup,Cicarucup Formation,Sediment: clastic: fine: claystone,Sedimentation: neritic,Sedimentation: neritic,
Tma,Andesit,Andesite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmba,Formasi Bal,Bal Formation,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,MIDDLE MIOCENE
Tmbc,Anggota Batulempung,Bojongmanik Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tmbk1,Lapisan lempung Kadupandak,Bentang Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tmbl,Anggota Batugamping,Bojongmanik Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmbl1,Bagian bawah Formasi Bentang,Lower part of Bentang Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmbs1,Anggota Batupasir,Bojongmanik Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral: tidal flat,Sedimentasi: transition,
Tmbu,Bagian Atas formasi bentang,Bentang Formation,Sediment: clastic: fine,Sedimentation: littoral,Sedimentation: littoral,
Tmbv,Formasi Beser,Beser Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tmc,Formasi Cimapag,Cimapag Formation,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Tmc1,Formasi Cikancana,Cikancana Formation,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Tmcb,Anggota Bojonglopang,Cimandiri Formation,Sediment: reef: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmcd,Dasit Ciomas,Ciomas Dacite,Intrusive: felsic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmci,Formasi Cibodas,Cibodas Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmck,Anggota Batulempung,Cimapag Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tmcl1,Anggota Batugamping,Cimapag Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmcm,Formasi Cimandiri,Cimandiri Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmcs1,Porfir Cilegok,Cilegok Porphiry,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmd1,Formasi Badui,Badui Formation,Sediment: clastic: coarse: conglomerate,Sedimentation: littoral,Sedimentation: terrestrial: fluvial,
Tmda,Dasit,Dacite,Intrusive: felsic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmda1,Dasit,Dacite,Intrusive: felsic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmdi,Anggota Batugamping,Badui Formation,Sediment: clastic: medium: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmgr,Granit,Granite,Intrusive: felsic: granitoid,Plutonism: sub-volcanic,Plutonism: sub-volcanic,MIOCENE
Tmh,Formasi Honje,Honje Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tmja,Anggota Ciseureuh,Jampang Formation,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Tmjc,Anggota Cikarang,Jampang Formation,Sediment: clastic: fine: claystone,Sedimentation: transitional,Sedimentation: transitional,
Tmjt,Anggota Tuf dan Breksi,Jampang Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tmjv,Formasi Jampang,Jampang Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subareal,
Tmkt,Tufa Cikasungka,Cikasungka Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tml,Formasi Lengkong,Lengkong Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: littoral,
Tmle,Formasi Lengkong,Lengkong Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmn,Formasi Nyalindung,Nyalindung Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmnl,Anggota Batugamping,Nyalindung Formation,Sediment: clastic: medium: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmpk2,Formasi Kantur,Kantur Formation,Sediment: clastic: fine: claystone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,MIOCENE-PLIOCENE
Tmps4,Formasi Surungbatang,Surungbatang Formation,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,MIOCENE-PLIOCENE
Tmqd,Diorit Kuarsa,Quartz Diorite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tms1,Anggota Batulempung,Sareweh Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tmsl,Anggota Batugamping,Sareweh Formation,Sediment: clastic: medium: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmt,Anggota Tuf,Citarete Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tmtb,Tufa dan breksi,Tuff and breccia,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tmtl,Anggota Batugamping,Citarete Formation,Sediment: clastic: medium: limestone,Sedimentation: littoral,Sedimentation: littoral,
Toj,Anggota Batupasir,Cijengkol Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tojl,Anggota Batugamping,Cijengkol Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: neritic,
Tojm,Anggota napal,Cijengkol Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: neritic,
Tomg,Granodiorit Cihara,Cihara Granodiorite,"Intrusime: felsic, granitoid",Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tomh,Formasi Hulusimpang,Hulusimpang Formation,Extrusive: intermediate: polymict,Volcanism: submarine,Volcanism: submarine,OLIGO-MIOCENE
Toml,Anggota Batugamping,Rajamandala Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Tomm,Batuan Malihan,Metamorphic Rock,Metamorphic: medium: schist,Metamorphism: regional: mid-grade,Metamorphism: regional: mid-grade,
Tomr,Formasi Rajamandala,Rajamandala Formation,Sediment: clastic: fine: marl,Sedimentation: neritic,Sedimentation: neritic,
Torm,Formasi Rajamandala,Rajamandala Formation,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Tow,Formasi Walat,Walet Formation,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial: bar,Sedimentation: terrestrial: fluvial: deltaic,
Tpa2,Andesit,Andesite,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tpc2,Formasi Cipacar,Cipacar Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tpm,Formasi Cimanceuri,Cimanceuri Formation,Sediment: clastic: coarse: conglomerate,Sedimentation: transitional,Sedimentation: transitional,
Tpmt,Tufa malimping,Malimping Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tpot,Formasi Tarahan,Tarahan Formation,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,PALEOCENE
Tpr,Formasi Ciramea,Ciramea Formation,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Tpv,Tufa Citorek,Citorek Tuff,,,,
Tpv2,Breksi Tufaan,Tuffaceous Breccia,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
,,,,,,
ab,Andesit dan Basalt,Andesite & Basalt,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
b1,Unit Basal,Basalt unit,Extrusive: mafic: lava,Volcanism: subaerial,Volcanism: subaerial,
d,Kubah dan aliran lava,Lava dome and flow,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
ha,Andesit horenblenda,Hornblende andesite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
ha1,Andesit Horenblenda,Hornblende andesite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
hya,Andesit Hipersten,Hyperstene Andesite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
ma,Mangerite,Mangerite,Intrusive: mafic,Volcanism: subaerial,Volcanism: subaerial,
Md,Formasi Jampang,Jampang Formation,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
Mdl,Anggota Batugamping,Jatiluhur Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Mdm,Anggota napal dan batupasir kuarsa,Jatiluhur Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: neritic,
Mdq,Anggota Batupasir Kuarsa,Jatiluhur Formation,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial: deltaic,Sedimentation: terrestrial: fluvial: deltaic,
Msb,Anggota Breksi,Subang Formation,Sediment: clastic: coarse: breccia,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Msc,Anggota Batulempung,Subang Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Mss,Anggota Batupasir,Subang Formation,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Mt,"Tufa batuapung, batupasir tufan","Pumice Tuff, Tuffaceous Sandstone",Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Mtb,Anggota Breksi & Batupasir,Citarum Formation,Sediment: clastic: coarse: breccia,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Mtjl,Formasi Cilanang,Cilanang Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: littoral,
Mtjs,Anggota Batupasir,Cilanang Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Mts,Anggota Batupasir-Batulanau,Citarum Formation,Sediment: clastic: medium: sandstone,Sedimentation: neritic,Sedimentation: neritic,
Mttb,Anggota Breksi,Cantayam Formation,Sediment: clastic: coarse: breccia,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Mttc,Anggota Batulempung,Cantayan Formation,Sediment: clastic: fine: claystone,Sedimentation: transitional,Sedimentation: transitional,
Mtts,Cantayan,Cantayan,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Omc,"Anggota lempung, napal, batupasir kuarsa",Jatiluhur Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Oml,Anggota Batugamping,Jatiluhur Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
Pb,Breksi Tufaan,Tuffaceous breccia,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Pk,Formasi Kaliwangu,Formasi Kaliwangu,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
Pl,Lava Andesit,Andesite lava,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Pt,Formasi Cilanang,Cilanang Formation,Sediment: clastic: fine: marl,Sedimentation: transitional,Sedimentation: transitional,
Q,Batuan Terobosan,Intrusive Rocks,Intrusive: mafic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Qad,Endapan Delta,Deltaic deposits,Sediment: clastic: alluvium,Sedimentation: river,Sedimentation: river,
Qal,Aluvial dan endapan koastal,Alluvium and Coastal Deposits,Sediment: clastic: alluvium,Sedimentation: littoral: beach,Sedimentation: terrestrial: fluvial,
Qav2,Batupasir tufaan dan konglomerat,Tuffaceous sandstone & Conglomerate,Sedimen: klastika: Sedang: Batupasir,Sedimentasi: darat:fluviatil,Sedimentasi: darat: fluvial,
Qf,Kipas Aluvial,Alluvial Fan,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
