SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Qgpk,Batuan Gapi Guntur-Pangkalan dan Kendang,Guntur-Pangkalan and Kendang Volcanics,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qhg,Lava Guntur,Guntur Lava,Extrusive: mafic: lava,Volcanism: subareal,Volcanism: subareal,
Qhp,Eflata Gunungapi Papandayan,Efflata Papandayan Volcanic,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qht,Talus and Endapan Longsoran,Talus and Landslide Deposits,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qlc,Endapan lahar Cipedak,Cipedak Lahar Deposits,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qls,Produk batuan erupsi tua Slamet,Old eruption product of Slamet,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qls1,Endapan Lahar G. Slamet,Laharic Deposits of G. Slamet,,,,
Qmm,Gunungapi Mandalawangi-Mandalagiri,Mandalawangi-Mandalagiri volcanics,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qmt,Gunungapi Malabar-Tilu,Malabar-Tilu Volcanics,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qob,Produk gunungapi tua,Older Volcanic Products,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qob1,Breksi Terlipat,Folded breccia,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Qol,Unit lempung tufaan,Tuffaceous clay unit,Sediment: clastic: fine: claystone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qopu,Endapan efflata gunungapi tua,Efflata deposits of old volcanic,Extrusive: mafic: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qos1,Batupasir Tufaan,Tuffaceous sandstone,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qot,Produk Gunungapi tua,Old VolcanicProduct,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qpb2,Tuff batuapung dan breksi,Pumiceous tuff and breccia,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qpg1,Formasi Gintung,Gintung Formation,Sediment: clastic: fine: claystone,Sedimentation: transitional,Sedimentation: transitional,
Qpl2,Formasi Linggopodo,Linggopodo Formation,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qpm,Formasi Mengger,Mengger Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qsu,Batuan Gunungapi Sangianganjung,Sangianganjung Volcanic,Extrusive: mafic: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qt,Teras Sungai,River Terrace,Sediment: clastic: alluvium,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qt1,Endapan Undak dan Danau,Terrace and Lake Deposits,,,,
Qt4,Endapan Undak,Terrace deposits,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Qtl,,,,,,
QTug,Hasil Gunungapi Tua,Old Volcanic Product,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
QTv,Endapan Piroklastika,Endapan Piroklastika,Batuan ekstrusi: menegnah: piroklastik,Gunung api: subaerial,Gunung api: subaerial,
QTv2,Endapan Gunungapi Muda,Young volcanic deposits,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
QTvb,Breksi Hasil Batuan Gunungapi Tua,Old volcanic product - breccia,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
QTvc,Hasil Gunungapi Tua,Older Volcanics,Extrusive: mafic: pyroclastic,Volcanism: subareal,Volcanism: subareal,
QTvk,Hasil Gunungapi Tua,Older Volcanics,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
QTvs,Hasil Gunungapi Tua,Older Volcanics,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qv2,Lava dan Lahar G. Patuha,Lava and Lahar of Mount Patuha,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qvb2,Breksi Produk Batuan GunungapiTua,Old volcanic products breccia,Sediment: clastic: coarse: breccia,Volcanism: subaerial,Volcanism: subaerial,
Qvb4,Breksi Gunungapi Galunggung,Galunggung volcanic breccia,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Qvba,Aliran lava basal G. Gegerbentang,Basalt lava flow of G. Gegerbentang,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvg1,Hasil  gunungapi Muda,Younger volcanic,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvgl,Aliran Lava berkomposisi basaltik-andesi,"Lava flow, basaltic andesitic in composi",Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qvgy,Aliran Lava Termuda,Youngest Lava Termuda,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qvk1,Kompleks Breksi Kromong,Kromong complex breccia,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvl2,Lava hasil batuan gunungapi tua,Old volcanic product - Lava,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qvr,Produk gunungapi muda Careme,Younger volcanic products of careme,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvs1,Bat.Gunungapi Slamet tdk terdiferensiasi,Undifferentiated volcanics of G. Slamet,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvt1,Batuan gunungapi muda,Younger volcanic,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qvu,Produk Gunungapi tua tak teruaraikan,Old volcanic product,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qvu1,Batuan gunungapi muda,Younger volcanic,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qvyu,Produk erupsi muda Ciremai,Young eruption product of Ciremai,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qwb,Waringin-Bedil Andesit,Waringin-Bedil Andesite,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qy,Batuan Gunungapi Muda,Young Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qyb,Breksi & Aglomerat,Breccia & Agglomerate,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Qyc,Batuan gunungapi muda,Volcanic rocks,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qyd,Tufa pasiran,Sandy Tuff,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qyl,Lava,Lava,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qypu,Endapan Rempah Lepas G Muda Tak Terurai,Undifferent. Efflata Dep. of Young Volc.,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qyt,Tuff berbatuapung,Pumiceous tuff,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qyu,Produk Gunungapi Muda,Young Volcanic product,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qyw,Batuan gunungapi Muda,Young volcanics,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
sh,Sosonite,Shosonite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tgd,Granodiorit,Granodiorite,Intrusive: felsic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tm,Batuan beku tak teruraikan,Undifferentiated Igneous rock,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tmb,Formasi Bulu,Bulu Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmb2,Formasi Bentang,Bentang Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmb3,Formasi Beser,Besser Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tmbe,Formasi Bentang,Bentang Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmbk,Anggota Kadupandak,Bentang Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tmbo,Formasi Bojonglopang,Bojonglopang Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmbs,Anggota Sukaraja,Bentang  Formation,Sediment: reef: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmc3,Formasi Cimandiri,Cimandiri Formation,Sediment: clastic: medium: flysch,Sedimentation: littoral,Sedimentation: neritic,
Tmcb1,Anggota Breksi,Cantayan Formation,Sediment: clastic: coarse: breccia,Sedimentation: transitional,Sedimentation: transitional,
Tmcs,Anggota Sindangkerta,Cimandiri Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tmdi1,Diorit,Diorite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmhl,Anggota Bawah dari Formasi Halang,Halang Formation,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Tmhs,Anggota Batupasir,Halang Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: neritic,
Tmhu,Anggota atas Halang,Upper Member of Halang,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
Tmi2,Diorit kuarsa,Quartz diorite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tmjg,Anggota Genteng,Jampang Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tmjp,Anggota Pasirgambang,Jatiluur Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmk2,Formasi Koleberes,Koleberes Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmkl,Formasi Kalipucang,Kalipucang Formation,,,,
Tmkl1,Batugamping komplek Kromong,Limestone of Kromong complex,,,,
Tml2,Formasi Lawak,Lawak Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: littoral,
Tmnt,Formasi Nusakambangan,Nusakambangan Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tmp,Formasi Parigi,Parigi Formation,Sediment: clastic: medium: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmp1,Formasi Pemali,Pemali Formation,Sediment: clastic: fine: marl,Sedimentation: neritic,Sedimentation: neritic,
Tmp3,Formasi Penosogan,Penosogan Formation,Sediment: clastic: medium: flysch,Sedimentation: neritic,Sedimentation: neritic,
Tmpa,Formasi Pamutuan,Pamutuan Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Tmpb2,Formasi Bentang,Bentang Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: transitional,
Tmph,Formasi Halang,Halang Formation,Sediment: clastic: medium: flysch,Sedimentation: neritic,Sedimentation: neritic,
Tmphl,Anggota Lebakwangi,Halang Formation,Sediment: reef: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tmpk,Formasi Kumbang,Kumbang Formation,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Tmpt,Anggota tufa napalan,Pamutuan Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: littoral,
Tmr,Formasi Rambatan,Rambatan Formation,Sediment: clastic: medium: flysch,Sedimentation: neritic,Sedimentation: neritic,
Tms2,Anggota Batulempung,Subang Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tms5,Formasi Subang,Subang Formation,,,,
Tmst,Anggota Tanjakan Pacol,Subang Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: transitional,
Tomcl,Anggota Batupasir,Cinambo Formation,Sediment: clastic: medium: sandstone,Sedimentation: neritic,Sedimentation: neritic,
Tomcu,Anggota Serpih,Cinombo Formation,Sediment: clastic: fine: shale,Sedimentation: neritic,Sedimentation: neritic,
Tomj,Formasi Jampang,Jampang Formation,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Tomj1,Formasi Jampang,Jampang Formation,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Tomj2,Formasi Jampang,Jampang Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tpa,Andesit Piroksen,Pyroxene Andesitic,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tpa1,Andesit,Andesite,Extrusive: intermediate: lava,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tpb1,Formasi Kalibiuk,Kalibiuk Formation,Sediment: clastic: fine: marl,Sedimentation: transitional,Sedimentation: transitional,
Tpc1,Formasi Citalang,Citalang Formation,,,,
Tpc3,Formasi Cihoe,Cihoe Formation,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Tpc4,Formasi Cijulang,Cijulang Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tpch,Formasi Ciherang,Ciherang Formation,Extrusive: intermediate: polymix,Volcanism: subareal,Volcanism: subareal,
Tpcl,Formasi Cijulang,Cijulang Formation,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Tpg2,Formasi Kaliglagah,Kaliglagah Formation,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
Tpi,Andesit,Andesite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tpk,Formasi Kaliwangu,Kaliwangu Formation,Sediment: clastic: fine: claystone,Sedimentation: transitional,Sedimentation: transitional,
Tpks,Formasi Kumbang,Kumbang Formation,Sediment: clastic: coarse: breccia,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Tpkw,Formasi Kaliwangu,Kaliwangu Formation,Sediment: clastic: fine: claystone,Sedimentation: neritic,Sedimentation: neritic,
Tpt,Formasi Tapak,Tapak Formation,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
Tpv1,Anggota tufa dan breksi,Formasi Jampang,Formasi Jampang,,,
vi,Vitrophyres,Vitrophyres,Intrusive: mafic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
a1,Andesit,Andesite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
d1,Kubah Lava dan Leleran,Lava Dome and Flow,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
da,Dasit,Dacite,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Km,Sekis dan Filit,Schist and Phylite,Metamorphic: medium: schist,Metamorphism: regional: mid-grade,Metamorphism: regional: mid-grade,
Kobe,Basal dan Rijang,Basalt and Chert,Tectonite: melange,Accretion: oceanic,Accretion: oceanic,
Kog,Mafik dan Ultramafik,Mafics and Ultramafic,Tectonite: ophiolite,Accretion: oceanic,Accretion: oceanic,
Kose,Serpentinit,Serpentinite,Tectonite: ophiolite,Accretion: oceanic,Accretion: oceanic,
KTl,Komplek Lok Ulo,Lok Ulo Complex,Tectonite: melange,Accretion: oceanic,Accretion: oceanic,
KTm,Batuan terbreksikan,Brecciated Rocks,Tectonite: melange,Accretion: oceanic,Accretion: oceanic,
KTm1,Batuan Malihan,Metamorphic rock,Metamorphic: medium: schist,Metamorphism: regional: mid-grade,Metamorphism: regional: mid-grade,
KTs,Batupasir Grewake,Greywacke,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
na,Endapan Longsoran (Ladu) dari Awan Panas,Avalanche Dep. (Ladus) From NueeArdente.,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
pTk,Formasi Karimunjawa,Karimunjawa Formation,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qaf2,Endapan Kipas Aluvial,Alluvial fan deposits,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qak,Batuan Vulkanik Andong dan Kendil,Andong & Kendil Volcanics,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qas1,Morponit Sedudo,Sedudo Morphonite,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qav,Morfoset Argohalangan,Argohalangan Morphocet,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qb1,Breksi Gunungapi,Volcanic breccia,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qb2,Formasi Baturetno,Baturetno Formation,Sediment: clastic: fine: claystone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qba,Basal,Basalt,Intrusive: mafic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Qcc,Endapan Kerucut Abu,Cindercone ash deposits,Extrusive: felsic: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qco,Batuan gunungapi Condong,Condong volcanic,Extrusive: intermediate: pyroclastic,Volcanism: subareal,Volcanism: subareal,
Qdm,Batuan Gunungapi Dieng,Dieng Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qdo,Batuan gunungapi Dieng,Dieng Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qdy,Batuan Gunungapi Dieng,Dieng Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qgi,Gunungapi Gianti,Gianti Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qhg1,Batuan gunungapi Gajah mungkur,Gajah mungkur volcanic rock,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qj,Morposet Patukbanteng-Jeding,Patukbanteng-Jeding Morphocet,,,,
Qjd,Morfonit Dangean,Dangean Morfonite,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qjm,Batuan Gunungapi Jembangan,Jembangan Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qjma,Batuan Gunungapi Jembangan,Jembangan Volcanics,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qjmf,Batuan Gunungapi Jembangan,Jembangan Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qjn,Morfonit Ngebel,Ngebel Morfonite,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qjo,Batuan Gunungapi Jembangan,Jembangan Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qjya,Batuan Gunungapi Jembangan,Jembangan Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qjyf,Batuan Gunungapi Jembangan,Jembangan Volcanic,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qk2,Formasi Kabuh,Kabuh Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Qke,Batuan gunungapi kekep,Kekep volcanics,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qla,Aluvial dan Endapan Danau,Alluvial and Lake Deposits,Sediment: clastic: alluvium,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qla1,Andesit Lasem,Lasem Andesite,,,,
Qlla,Lahar Lawu,Lawu Lahar,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qls2,Lava Sumbing,Sumbing Lava,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qmi,Endapan Gunungapi Muda Merapi,Young volcanic deposits of Merapi,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qmo,Endapan Gunungapi Merapi Tua,Old Volcanic Deposits of Merapi Volcano,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qn,Formasi Notopuro,Notopuro Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qos,Batuan gunungapi tua Sundoro,Old Sundoro volanics,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qp1,Formasi Payung,Payung Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qpj1,Formasi Jongkong,Jongkong Formation,Extrusive: mafic: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qpk,Formasi Kabuh,Kabuh Formation,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qpk2,Gunungapi Kaligesic,Kaligesic Volcanics,Extrusive: mafic: lava,Volcanism: subaerial,Volcanism: subaerial,
Qpkg,Formasi Kaligetas,Kaligetas Formation,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qpl1,Lahar dan andesit porpiri,Andesite porphyry and lahar,Extrusive: intermediate: polimik,Volcanism: subareal,Volcanism: subareal,
Qpn,Formasi Notopuro,Notopuro Formation,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Qpnv,Formasi Notopuro,Notopuro Formation,Sediment: clastic: coarse: breccia,Sedimentation: littoral,Sedimentation: terrestrial: fluvial,
Qppl,Formasi Pucangan,Pucangan Formation,Sediment: clastic: medium: sandstone,Sedimentation: littoral,Sedimentation: littoral,
Qps,Endapan Undak,Terrace deposits,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qsm,Batuan gunungapi Sumbing,Sumbing Volcanics,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qsmo,Batuan gunungapi tua Sumbing,Old Sumbing Volcanics,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qsu1,Batuan gunungapi Sundoro,Sundoro Volcanic,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qt2,Endapan Undak,Terrace deposits,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Qt3,Alluvium tua,Older Aluvium,Sediment: clastic: coarse: conglomerate,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
QTd,Formasi Damar,Damar Formation,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
QTdl,Anggota Dander,Lidah Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
QTe,Batuan Gunungapi Telomoyo,Telemoyo Volcanics,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
QTlb,Anggota Breksi,Ligung Formation,Extrusive: intermediate: pyroclastic,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
QTlc,Anggota lempung,Ligung Formation,,,,
QTp,Formasi Pucangan,Pucangan Formation,Sediment: clastic: coarse: breccia,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
QTp1,Formasi Penyatan,Penyatan Formation,,,,
QTps,Anggota Selorejo,Selerejo Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
QTpt,Formasi Tambakromo,Tambakromo Formation,,,,
