time,fried,eps,year,month,hour
2017-07-02 12:00:00+00,0.0783302454473697,1.2586842028975624,2017,7,12
2017-07-05 12:00:00+00,0.08640854890269214,1.1410102797203807,2017,7,12
2017-07-07 12:00:00+00,0.0893405721972405,1.1035640373561235,2017,7,12
2017-07-09 12:00:00+00,0.09454859257278128,1.042776416558484,2017,7,12
2017-07-10 12:00:00+00,0.08597265467788466,1.146795372587869,2017,7,12
2017-07-11 12:00:00+00,0.07785178964569076,1.2664197316772958,2017,7,12
2017-07-12 12:00:00+00,0.07474081753266927,1.3191325143131842,2017,7,12
2017-07-13 12:00:00+00,0.08196323862960125,1.2028934459171776,2017,7,12
2017-07-14 12:00:00+00,0.07487069748040673,1.3168441843285115,2017,7,12
2017-07-15 12:00:00+00,0.06340879934488225,1.5548795052472544,2017,7,12
2017-07-16 12:00:00+00,0.07223163404613804,1.364956557548131,2017,7,12
2017-07-17 12:00:00+00,0.09058694216988779,1.0883802918172294,2017,7,12
2017-07-18 12:00:00+00,0.07672065008412723,1.2850913338922672,2017,7,12
2017-07-19 12:00:00+00,0.06581768818374557,1.4979718260302195,2017,7,12
2017-07-21 12:00:00+00,0.05807140998864927,1.6977897139567322,2017,7,12
2017-07-22 12:00:00+00,0.08811618107280977,1.118898269912835,2017,7,12
2017-07-23 12:00:00+00,0.06809305661764108,1.4479162406721826,2017,7,12
2017-07-24 12:00:00+00,0.08860025023996819,1.1127851477468733,2017,7,12
2017-07-25 12:00:00+00,0.0794849107883486,1.2403994868438015,2017,7,12
2017-07-26 12:00:00+00,0.05958639733495239,1.6546233194712698,2017,7,12
2017-07-28 12:00:00+00,0.08284259134554425,1.1901250425937557,2017,7,12
2017-07-30 12:00:00+00,0.07118128298086318,1.3850978575393103,2017,7,12
2017-07-31 12:00:00+00,0.08156758261693396,1.2087282642261903,2017,7,12
2017-08-01 12:00:00+00,0.07037949333384418,1.4008774130557917,2017,8,12
2017-08-02 12:00:00+00,0.08332980729177614,1.1831665733783971,2017,8,12
2017-08-03 12:00:00+00,0.08414859373221291,1.1716540726449545,2017,8,12
2017-08-05 12:00:00+00,0.08264291249390088,1.1930005801885215,2017,8,12
2017-08-07 12:00:00+00,0.06472205738711019,1.5233298589999456,2017,8,12
2017-08-08 12:00:00+00,0.07205135498665957,1.368371803305401,2017,8,12
2017-08-09 12:00:00+00,0.05039424397267944,1.9564346000932933,2017,8,12
2017-08-10 12:00:00+00,0.07041402208025771,1.4001904683319588,2017,8,12
2017-08-12 12:00:00+00,0.06641449638693517,1.484510881167923,2017,8,12
2017-08-15 12:00:00+00,0.07583754277869832,1.3000558686533068,2017,8,12
2017-08-16 12:00:00+00,0.08448943774276213,1.1669274312591698,2017,8,12
2017-08-17 12:00:00+00,0.0855917493400128,1.1518989074756794,2017,8,12
2017-08-18 12:00:00+00,0.09714817882408402,1.014872782455606,2017,8,12
2017-08-19 12:00:00+00,0.09300336490494863,1.0601018861463463,2017,8,12
2017-08-20 12:00:00+00,0.09004050511862735,1.0949854448705916,2017,8,12
2017-08-21 12:00:00+00,0.0789279189672924,1.2491529466848068,2017,8,12
2017-08-23 12:00:00+00,0.0924947706080884,1.0659309916172848,2017,8,12
2017-08-24 12:00:00+00,0.07577066666559429,1.301203313794542,2017,8,12
2017-08-25 12:00:00+00,0.07824582404679829,1.260042229151106,2017,8,12
2017-08-26 12:00:00+00,0.08386707890273645,1.1755869388038982,2017,8,12
2017-08-27 12:00:00+00,0.08103676593532155,1.2166458201501245,2017,8,12
2017-08-28 12:00:00+00,0.07098500736155397,1.3889276935835286,2017,8,12
2017-08-29 12:00:00+00,0.08144585742379067,1.210534773311792,2017,8,12
2017-08-30 12:00:00+00,0.043719819715864215,2.2551109129555122,2017,8,12
2017-08-31 12:00:00+00,0.059326571886219204,1.6618698741397333,2017,8,12
2017-09-01 12:00:00+00,0.08027164446190048,1.228242466123743,2017,9,12
2017-09-02 12:00:00+00,0.08414731171633193,1.1716719232345634,2017,9,12
2017-09-03 12:00:00+00,0.07960283581497005,1.2385619374523795,2017,9,12
2017-09-04 12:00:00+00,0.08758332174958743,1.125705677567058,2017,9,12
2017-09-05 12:00:00+00,0.07091414916448262,1.3903155253969164,2017,9,12
2017-09-06 12:00:00+00,0.0708759459424978,1.391064926790286,2017,9,12
2017-09-07 12:00:00+00,0.08584901084357913,1.1484470419040012,2017,9,12
2017-09-08 12:00:00+00,0.08436696361012146,1.1686214406069344,2017,9,12
2017-09-09 12:00:00+00,0.08310415169118518,1.1863792668272994,2017,9,12
2017-09-10 12:00:00+00,0.06746779280623448,1.4613349340899484,2017,9,12
2017-09-11 12:00:00+00,0.07862931123479837,1.2538968103037307,2017,9,12
2017-09-12 12:00:00+00,0.08487526695714614,1.1616227681907967,2017,9,12
2017-09-14 12:00:00+00,0.08078554069558865,1.220429320702395,2017,9,12
2017-09-15 12:00:00+00,0.08361172547378617,1.1791772265793476,2017,9,12
2017-09-16 12:00:00+00,0.08587880722286818,1.1480485784790821,2017,9,12
2017-09-18 12:00:00+00,0.07157834090997733,1.3774144706384224,2017,9,12
2017-09-19 12:00:00+00,0.07586756187975262,1.299541465560201,2017,9,12
2017-09-20 12:00:00+00,0.08302438333924399,1.1875191189416516,2017,9,12
2017-09-21 12:00:00+00,0.08639360052505167,1.1412077046737252,2017,9,12
2017-09-22 12:00:00+00,0.0786153054778471,1.2541201990428614,2017,9,12
2017-09-23 12:00:00+00,0.09041088663036619,1.0904996757390346,2017,9,12
2017-09-24 12:00:00+00,0.0793109750025376,1.243119789544113,2017,9,12
2017-09-26 12:00:00+00,0.09474294567748887,1.0406372933485735,2017,9,12
2017-09-27 12:00:00+00,0.07886092470234807,1.2502141323579659,2017,9,12
2017-09-28 12:00:00+00,0.09173109029092855,1.0748050877952227,2017,9,12
2017-09-29 12:00:00+00,0.09048365131646824,1.0896227232128592,2017,9,12
2017-10-01 12:00:00+00,0.07913627485325536,1.2458640836521155,2017,10,12
2017-10-03 12:00:00+00,0.08186911871273901,1.2042763389164426,2017,10,12
2017-10-04 12:00:00+00,0.09668086852211066,1.019778204941808,2017,10,12
2017-10-05 12:00:00+00,0.0921060234866219,1.0704299113294504,2017,10,12
2017-10-06 12:00:00+00,0.09469609728327949,1.0411521211772425,2017,10,12
2017-10-07 12:00:00+00,0.07904561964556348,1.247292930282274,2017,10,12
2017-10-08 12:00:00+00,0.09529484145931542,1.0346104893388761,2017,10,12
2017-10-09 12:00:00+00,0.09326111847636054,1.057171993692998,2017,10,12
2017-10-10 12:00:00+00,0.0931366538705739,1.0585847618135544,2017,10,12
2017-10-13 12:00:00+00,0.07469295705095141,1.3199777655935918,2017,10,12
2017-10-14 12:00:00+00,0.09368335144619196,1.0524072957650425,2017,10,12
2017-10-15 12:00:00+00,0.09735118643782217,1.0127564558924398,2017,10,12
2017-10-16 12:00:00+00,0.0806939953548147,1.2218138675644383,2017,10,12
2017-10-17 12:00:00+00,0.06946013508707011,1.4194191017639683,2017,10,12
2017-10-18 12:00:00+00,0.06652338235563769,1.4820810226787489,2017,10,12
2017-10-19 12:00:00+00,0.07791329884749262,1.2654199477123773,2017,10,12
2017-10-20 12:00:00+00,0.06358553435877559,1.5505577415987524,2017,10,12
2017-10-21 12:00:00+00,0.08461113760100945,1.1652489890706386,2017,10,12
2017-10-22 12:00:00+00,0.08318587236192553,1.1852137839552108,2017,10,12
2017-10-23 12:00:00+00,0.09317832945575995,1.0581112918589495,2017,10,12
2017-10-24 12:00:00+00,0.09498033363695338,1.03803638899131,2017,10,12
2017-10-25 12:00:00+00,0.086211420921791,1.14361927340386,2017,10,12
2017-10-26 12:00:00+00,0.10996757648999897,0.8965646575166593,2017,10,12
2017-10-27 12:00:00+00,0.07787197885726822,1.2660913977080823,2017,10,12
2017-10-28 12:00:00+00,0.08532343212254417,1.1555212923466387,2017,10,12
2017-10-30 12:00:00+00,0.09147164733829953,1.077853580017594,2017,10,12
2017-10-31 12:00:00+00,0.023242428769159225,4.241942334551445,2017,10,12
2017-11-01 12:00:00+00,0.1263755771162887,0.7801589896042118,2017,11,12
2017-11-02 12:00:00+00,0.11393642589769534,0.8653338190739862,2017,11,12
2017-11-03 12:00:00+00,0.0937474007491401,1.051688278990469,2017,11,12
2017-11-04 12:00:00+00,0.10113597321830955,0.9748563188379322,2017,11,12
2017-11-05 12:00:00+00,0.10639048275544365,0.9267092318805017,2017,11,12
2017-11-06 12:00:00+00,0.07327456663945639,1.3455288386598692,2017,11,12
2017-11-07 12:00:00+00,0.0942205981051745,1.0464064603329908,2017,11,12
2017-11-09 12:00:00+00,0.08713246133026613,1.131530557595369,2017,11,12
2017-11-16 12:00:00+00,0.0924211549261732,1.0667800313948674,2017,11,12
2017-11-17 12:00:00+00,0.007681607293405522,12.83494961247664,2017,11,12
2017-11-18 12:00:00+00,0.10584164406478856,0.9315146549815634,2017,11,12
2017-11-20 12:00:00+00,0.11969899426775941,0.8236747781952644,2017,11,12
2017-11-22 12:00:00+00,0.11152701279081079,0.8840283630533721,2017,11,12
2017-11-25 12:00:00+00,0.09870980337805703,0.9988171304129045,2017,11,12
2017-11-26 12:00:00+00,0.08696267623694404,1.133739746981338,2017,11,12
2017-11-27 12:00:00+00,0.10362718734127488,0.9514206173424065,2017,11,12
2017-11-30 12:00:00+00,0.027901414239537983,3.533621690544297,2017,11,12
2017-12-01 12:00:00+00,0.11518969530677972,0.8559189456236894,2017,12,12
2017-12-03 12:00:00+00,0.10449353887835819,0.9435324290094715,2017,12,12
2017-12-05 12:00:00+00,0.10800914943877975,0.912821210665825,2017,12,12
2017-12-08 12:00:00+00,0.0899062202154806,1.096620926976937,2017,12,12
2017-12-11 12:00:00+00,0.10209189704352034,0.965728382064094,2017,12,12
2017-12-13 12:00:00+00,0.10550877696140185,0.9344534681674977,2017,12,12
2017-12-14 12:00:00+00,0.09129221054149268,1.079972124334551,2017,12,12
2017-12-15 12:00:00+00,0.0550352097355644,1.7914539260850852,2017,12,12
2017-12-16 12:00:00+00,0.09589480977846347,1.0281374224680453,2017,12,12
2017-12-24 12:00:00+00,0.11014569152906876,0.8951148354965212,2017,12,12
2017-12-28 12:00:00+00,0.07871637522687809,1.2525099417945236,2017,12,12
2017-12-30 12:00:00+00,0.042985902677695316,2.2936134037462304,2017,12,12
2017-12-31 12:00:00+00,0.10999453988643437,0.8963448790775154,2017,12,12
